what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344442978561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344442979125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1344442981089
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1344442989651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344442990560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443005113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344443008545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344443009943
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1344443010808
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1344443012406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344443013020
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1344443016488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344443017351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344443019677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443043449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443043655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443050234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443072246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344443080825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344443081280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344443085099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443128931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443173101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443177807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443180251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344443183292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443194035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443194218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443201767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443228991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443236950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443312048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443313454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443331436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443331886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443337043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344443342598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344443342764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344443342983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443349659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443351629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344443352146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344443352737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344443353359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443360496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344443381710
