what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1344597746521
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1344597746521
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1344597746521
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1344597746521
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344597746521
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344597746521
started,bundle,org.aspectj.ajde,1.6.12.20110613132200,"org.aspectj.ajde",1344597746521
started,bundle,org.eclipse.ajdt.core,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.core",1344597746521
started,bundle,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.ui",1344597746521
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.3.e37x-20110628-1900,"org.eclipse.contribution.weaving.jdt",1344597746521
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.1.HEAD,"org.eclipse.equinox.weaving.aspectj",1344597746521
started,bundle,org.eclipse.equinox.weaving.caching,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching",1344597746521
started,bundle,org.eclipse.equinox.weaving.caching.j9,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching.j9",1344597746521
os,sysinfo,,,"linux",1344597746538
arch,sysinfo,,,"x86",1344597746538
ws,sysinfo,,,"gtk",1344597746538
locale,sysinfo,,,"en_IE",1344597746538
processors,sysinfo,,,"2",1344597746538
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1344597746538
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1344597746538
java.specification.name,sysinfo,,,"Java Platform API Specification",1344597746538
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344597746538
java.specification.version,sysinfo,,,"1.6",1344597746538
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1344597746538
java.version,sysinfo,,,"1.6.0_24",1344597746538
java.vm.info,sysinfo,,,"mixed mode, sharing",1344597746538
java.vm.name,sysinfo,,,"OpenJDK Client VM",1344597746538
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344597746538
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344597746538
java.vm.specification.version,sysinfo,,,"1.0",1344597746538
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1344597746538
